===== entry =====
0x5bb8 -> 0x10001698  SRAM 0x10001698
0x5bbc -> 0x100016a0  SRAM 0x100016a0
0x5bc0 -> 0x100016a8  SRAM 0x100016a8
0x5bc4 -> 0x100016b0  SRAM 0x100016b0
0x5bc8 -> 0x100016b8  SRAM 0x100016b8
0x5bcc -> 0x10001657  SRAM 0x10001657
0x5bd0 -> 0x10001658  SRAM 0x10001658
0x5bd4 -> 0x10001659  SRAM 0x10001659
0x5bd8 -> 0x1000165a  SRAM 0x1000165a
0x5bdc -> 0x1000165b  SRAM 0x1000165b
0x5be0 -> 0x10001660  SRAM 0x10001660
0x5fe4 -> 0x10001657  SRAM 0x10001657
0x5fe8 -> 0x10001745  SRAM 0x10001745
0x5fec -> 0x10001658  SRAM 0x10001658
0x5ff0 -> 0x10001659  SRAM 0x10001659
0x5ff4 -> 0x1000165a  SRAM 0x1000165a
0x5ff8 -> 0x1000165b  SRAM 0x1000165b
0x5ffc -> 0x10001660  SRAM 0x10001660
0x6000 -> 0x10001778  SRAM 0x10001778
0x6004 -> 0x10001698  SRAM 0x10001698
0x6008 -> 0x100016a0  SRAM 0x100016a0
0x600c -> 0x100016a8  SRAM 0x100016a8
0x6010 -> 0x100016b0  SRAM 0x100016b0
0x6014 -> 0x100016b8  SRAM 0x100016b8
0x6068 -> 0x10001746  SRAM 0x10001746
0x6470 -> 0x10001745  SRAM 0x10001745
0x6480 -> 0x10001764  SRAM 0x10001764
0x6484 -> 0x10001744  SRAM 0x10001744
0x6488 -> 0xf9bb2e31  0xf9bb2e31
0x6490 -> 0xe8c9fdca  0xe8c9fdca
===== case5 =====
0x8b10 -> 0x00004814  FLASH 0x00004814
0x8b14 -> 0x00006a18  FLASH 0x00006a18
0x8b18 -> 0x100016ff  SRAM 0x100016ff
0x8b1c -> 0x10001700  SRAM 0x10001700
0x8b20 -> 0x10001704  SRAM 0x10001704
0x8b24 -> 0x10001705  SRAM 0x10001705
0x8b28 -> 0x100017bc  SRAM 0x100017bc
0x8b2c -> 0x54532031  0x54532031
0x8b30 -> 0x00005030  FLASH 0x00005030
0x8b34 -> 0x00006038  FLASH 0x00006038
0x8b38 -> 0xf900f7f8  0xf900f7f8
0x8b3c -> 0x48fae012  PERIPH 0x48fae012
0x8b40 -> 0xb9287800  0xb9287800
0x8b44 -> 0x220b2300  0x220b2300
0x8b48 -> 0x48f82103  PERIPH 0x48f82103
0x8b4c -> 0xf8f6f7f8  0xf8f6f7f8
0x8b50 -> 0x780048f5  0x780048f5
0x8b54 -> 0xd1052801  0xd1052801
0x8f2c -> 0x00006038  FLASH 0x00006038
0x8f30 -> 0x00006a94  FLASH 0x00006a94
0x8f34 -> 0x10001778  SRAM 0x10001778
0x8f38 -> 0x10001746  SRAM 0x10001746
0x8f3c -> 0x10001745  SRAM 0x10001745
0x8f40 -> 0x00006474  FLASH 0x00006474
0x8f44 -> 0x20202020  0x20202020
0x8f48 -> 0x00002020  0x00002020
0x8f4c -> 0x10001764  SRAM 0x10001764
0x8f50 -> 0x10001744  SRAM 0x10001744
===== case5b =====
0x87c0 -> 0x600849d2  0x600849d2
0x87c4 -> 0xd1262c04  0xd1262c04
0x87c8 -> 0x49cd2000  PERIPH 0x49cd2000
0x87cc -> 0x20026008  FIO 0x20026008
0x87d0 -> 0x700849cc  0x700849cc
0x87d4 -> 0x700849c8  0x700849c8
0x87d8 -> 0xff0bf7fa  0xff0bf7fa
0x87dc -> 0xf8d9f7f8  0xf8d9f7f8
0x87e0 -> 0x461a2300  PERIPH 0x461a2300
0x87e4 -> 0x48ca4619  PERIPH 0x48ca4619
0x87e8 -> 0xfaa8f7f8  0xfaa8f7f8
0x87ec -> 0x461a2300  PERIPH 0x461a2300
0x87f0 -> 0x48c72101  PERIPH 0x48c72101
0x87f4 -> 0xf7f83010  0xf7f83010
0x87f8 -> 0x2301faa1  0x2301faa1
0x87fc -> 0x21022200  0x21022200
0x8800 -> 0x302048c3  0x302048c3
===== case8 =====
0x9a84 -> 0x78004892  0x78004892
0x9a88 -> 0xd17d2808  0xd17d2808
0x9a8c -> 0x49912001  PERIPH 0x49912001
0x9a90 -> 0x2c037008  0x2c037008
0x9a94 -> 0x2c21d001  0x2c21d001
0x9a98 -> 0x2000d116  FIO 0x2000d116
0x9a9c -> 0x6008498b  0x6008498b
0x9aa0 -> 0x6800488d  0x6800488d
0x9aa4 -> 0x498c1c40  PERIPH 0x498c1c40
0x9cd4 -> 0x100015ce  SRAM 0x100015ce
0x9cd8 -> 0x1000162c  SRAM 0x1000162c
0x9cdc -> 0x10001624  SRAM 0x10001624
0x9ce0 -> 0x100015cc  SRAM 0x100015cc
0x9ce4 -> 0x000047dc  FLASH 0x000047dc
0x9ce8 -> 0x10001628  SRAM 0x10001628
0x9cec -> 0x10001630  SRAM 0x10001630
0x9cf0 -> 0xf7f7308c  0xf7f7308c
0x9cf4 -> 0x2300f823  0x2300f823
0x9cf8 -> 0x2103461a  0x2103461a
0x9cfc -> 0xf7f748fe  0xf7f748fe
===== case2 =====
0x6460 -> 0x486d2103  PERIPH 0x486d2103
0x6464 -> 0xf7fa7800  0xf7fa7800
0x6468 -> 0xe0d7fd33  0xe0d7fd33
0x646c -> 0x0000e0d9  FLASH 0x0000e0d9
0x6470 -> 0x10001745  SRAM 0x10001745
0x6474 -> 0x20202020  0x20202020
0x6480 -> 0x10001764  SRAM 0x10001764
0x6484 -> 0x10001744  SRAM 0x10001744
0x6488 -> 0xf9bb2e31  0xf9bb2e31
0x648c -> 0xceb2beb1  0xceb2beb1
0x6490 -> 0xe8c9fdca  0xe8c9fdca
0x6494 -> 0x2020c3d6  0x2020c3d6
0x6498 -> 0x00000000  0x00000000
0x649c -> 0xa3b12e32  0xa3b12e32
0x64a0 -> 0xceb2a4bb  0xceb2a4bb
0x64a4 -> 0xe8c9fdca  0xe8c9fdca
0x64a8 -> 0x2020c3d6  0x2020c3d6
0x64ac -> 0x00000000  0x00000000
0x64b0 -> 0xa8cd2e33  0xa8cd2e33
0x64b4 -> 0xceb2b6d1  0xceb2b6d1
0x64b8 -> 0xe8c9fdca  0xe8c9fdca
0x64bc -> 0x2020c3d6  0x2020c3d6
0x64c0 -> 0x00000000  0x00000000
0x64c4 -> 0xd6bb2e34  0xd6bb2e34
0x64c8 -> 0xf6b3b4b8  0xf6b3b4b8
0x64cc -> 0xceb2a7b3  0xceb2a7b3
0x64d0 -> 0x2020fdca  0x2020fdca
0x64d4 -> 0x00000000  0x00000000
0x64d8 -> 0x49502e35  PERIPH 0x49502e35
0x64dc -> 0xceb22044  0xceb22044
0x64e0 -> 0xe8c9fdca  0xe8c9fdca
0x64e4 -> 0x2020c3d6  0x2020c3d6
0x64e8 -> 0x00000000  0x00000000
0x64ec -> 0xe0cf2e36  0xe0cf2e36
0x64f0 -> 0xceb2bbce  0xceb2bbce
0x64f4 -> 0xa3d0fdca  0xa3d0fdca
0x64f8 -> 0x2020bcd7  0x2020bcd7
0x64fc -> 0x00000000  0x00000000
===== case2b =====
0x6540 -> 0xcbd42e31  0xcbd42e31
0x6544 -> 0xa3c4d0d0  0xa3c4d0d0
0x6548 -> 0x203abdca  0x203abdca
0x654c -> 0x20202020  0x20202020
0x6550 -> 0x00000000  0x00000000
0x6554 -> 0xe7b52e32  0xe7b52e32
0x6590 -> 0x10001634  SRAM 0x10001634
0x6594 -> 0xd1e3ba20  0xd1e3ba20
0x65a0 -> 0x000000f7  0x000000f7
0x65a4 -> 0xbbaabf20  0xbbaabf20
0x65a8 -> 0x000000b7  0x000000b7
0x65ac -> 0x1000163c  SRAM 0x1000163c
0x65b0 -> 0x10001638  SRAM 0x10001638
0x65b4 -> 0x10001640  SRAM 0x10001640
0x65b8 -> 0x10001778  SRAM 0x10001778
0x65bc -> 0xfdb92e31  0xfdb92e31
0x65c0 -> 0xa3b1b9d1  0xa3b1b9d1
0x65c4 -> 0x203aa4bb  0x203aa4bb
0x65c8 -> 0x56202020  0x56202020
0x65cc -> 0x00000000  0x00000000
0x65d0 -> 0xfdb92e32  0xfdb92e32
0x65d4 -> 0xb1cab9d1  0xb1cab9d1
0x65d8 -> 0x203ae4bc  0x203ae4bc
0x65dc -> 0x53202020  0x53202020
0x65e0 -> 0x00000000  0x00000000
0x65e4 -> 0xb7c72e33  0xb7c72e33
0x65e8 -> 0xa3b1b9d1  0xa3b1b9d1
0x65ec -> 0x203aa4bb  0x203aa4bb
0x65f0 -> 0x56202020  0x56202020
0x65f4 -> 0x00000000  0x00000000
0x65f8 -> 0xb7c72e34  0xb7c72e34
0x65fc -> 0xb1cab9d1  0xb1cab9d1
===== case2c =====
0x6600 -> 0x203ae4bc  0x203ae4bc
0x6604 -> 0x53202020  0x53202020
0x6608 -> 0x00000000  0x00000000
0x660c -> 0x100016c0  SRAM 0x100016c0
0x6610 -> 0x100016c4  SRAM 0x100016c4
0x6614 -> 0x100016c8  SRAM 0x100016c8
0x6618 -> 0x100016cc  SRAM 0x100016cc
0x661c -> 0x49fb20fa  PERIPH 0x49fb20fa
0x6620 -> 0x48fb6008  PERIPH 0x48fb6008
0x6624 -> 0x28027800  0x28027800
0x6628 -> 0x2005d162  FIO 0x2005d162
0x662c -> 0x700849f9  0x700849f9
0x6630 -> 0x49f72000  PERIPH 0x49f72000
0x6634 -> 0x23007008  0x23007008
0x6638 -> 0x4619461a  PERIPH 0x4619461a
0x663c -> 0xf7faa0f6  0xf7faa0f6
0x6640 -> 0x2300fb7d  0x2300fb7d
0x6644 -> 0x2101461a  0x2101461a
0x6648 -> 0xf7faa0f8  0xf7faa0f8
0x664c -> 0x2300fb77  0x2300fb77
